OrderId,RestaurantName,RestaurantType,Rating,No.of.Rating,AverageCost,OnlineOrder,TableBooking,CuisinesType,Area,LocalAddress,Delivery time
1,L-81 Cafe,Quick Bites,3.9,48,400,Yes,No,"Fast Food, Beverages","Byresandra,Tavarekere,Madiwala",HSR,59
2,refuel,Cafe,3.7,37,400,Yes,No,"Cafe, Beverages",Bannerghatta Road,Bannerghatta Road,56
